radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,
UMTS,452,2,26118,171127019,66,1.067.336,10.7429,4869,18,1,1562098877,1732970644,0
UMTS,452,2,26118,171124568,232,1.067.216,10.7378,1000,23,1,1562098999,1732970644,0
UMTS,452,2,26118,171126089,249,1.067.217,10.735,1000,17,1,1562099068,1732970644,0
UMTS,452,2,26118,171125378,432,1.067.213,10.7341,500,31,1,1562099076,1732970644,0
UMTS,452,2,26118,171125909,343,106.718,10.7429,6233,23,1,1562130178,1732970644,0
UMTS,452,2,26118,171126077,194,1.066.974,10.7338,1000,14,1,1562130196,1732970644,0
UMTS,452,2,26118,171125438,218,1.066.936,10.7311,1000,16,1,1562130208,1733033223,0
UMTS,452,2,26118,171124798,168,1.067.055,10.7397,1000,14,1,1562480752,1732970644,0
UMTS,452,2,26118,171125109,273,1.067.096,10.739,1000,8,1,1562480882,1732970644,0
UMTS,452,2,26118,171125177,11,1.067.112,10.7388,1000,4,1,1562480892,1732970644,0
UMTS,452,2,26118,171125599,113,1.067.131,10.7386,1000,9,1,1562480922,1732970644,0
UMTS,452,2,26118,171125118,145,1.067.139,10.7337,1000,18,1,1562480992,1732970647,0
UMTS,452,2,26118,171125577,94,106.718,10.7375,1000,10,1,1562481012,1732970646,0
UMTS,452,2,26118,171124569,233,1.067.196,10.7382,1000,6,1,1562481129,1732970644,0
UMTS,452,2,26118,171125157,251,1.067.223,10.7327,1410,12,1,1563089614,1735046703,0
UMTS,452,2,26118,171125227,454,1.067.232,10.734,1000,6,1,1563089644,1732970644,0
UMTS,452,2,26118,171125379,433,1.067.187,10.7336,500,26,1,1563089904,1735046704,0
UMTS,452,2,26118,171125578,95,1.067.186,10.7368,1000,8,1,1563089944,1732970646,0
GSM,452,4,20923,41973,-1,1.067.498,10.789,2401,37,1,1564333331,1738381146,0
GSM,452,4,20923,13152,-1,1.067.538,10.7924,960,50,1,1564333331,1738381146,0
GSM,452,4,20923,8005,-1,1.067.584,10.7975,2059,50,1,1564365517,1738381147,0
GSM,452,4,20923,44441,-1,1.067.573,10.7939,1398,50,1,1564365733,1738381146,0
GSM,452,4,20682,47775,-1,1.066.936,10.7858,1000,15,1,1564383522,1744808341,0
GSM,452,4,20923,10713,-1,1.067.591,10.8218,1203,50,1,1564650492,1738381149,0
GSM,452,4,20356,64592,-1,106.758,10.8223,921,42,1,1564650492,1738381148,0
GSM,452,4,20923,51577,-1,1.067.568,10.8131,1378,50,1,1564650571,1738381148,0
GSM,452,4,20923,14228,-1,1.067.573,10.805,1746,44,1,1564650571,1738381147,0
GSM,452,4,20923,26771,-1,1.067.548,10.806,970,48,1,1564650581,1738381147,0
GSM,452,4,20923,51627,-1,1.067.607,10.7943,2190,34,1,1564805206,1738381146,0
GSM,452,4,20923,2741,-1,1.067.547,10.7938,1000,10,1,1564805266,1738381146,0
GSM,452,4,20506,27848,-1,1.067.321,10.7784,1363,31,1,1564805900,1735808510,0
GSM,452,4,20506,27849,-1,1.067.263,10.7754,1000,14,1,1564805900,1735808510,0
GSM,452,4,20682,46423,-1,1.067.024,10.786,1000,15,1,1564907863,1735808511,0
GSM,452,4,20682,9255,-1,1.067.078,10.781,868,35,1,1564907913,1735808511,0
GSM,452,4,20506,20490,-1,1.067.061,10.7752,1000,2,1,1564908149,1735547344,0
GSM,452,4,20931,44972,-1,1.066.208,10.7824,1000,9,1,1565073470,1738231868,0
GSM,452,4,20931,53877,-1,1.066.211,10.7905,1000,11,1,1565073922,1738231868,0
UMTS,452,5,1153,8120984,37,1.057.728,210.032,3971,19,1,1565160028,1743678482,0
UMTS,452,5,1153,8120982,187,1.057.934,210.041,1000,24,1,1565160674,1743678483,0
LTE,452,5,11153,31766534,-1,1.057.951,210.084,1000,10,1,1565160711,1730908443,0
LTE,452,5,11153,31768580,-1,1.057.885,210.037,1000,17,1,1565160892,1743678487,0
LTE,452,5,11153,31864326,-1,1.058.015,210.034,1000,13,1,1565165015,1743678487,0
LTE,452,5,11153,31929349,-1,1.058.013,210.026,1000,5,1,1565165025,1726743243,0
LTE,452,5,11153,31766533,-1,1.057.963,210.073,1000,18,1,1565165125,1743678487,0
LTE,452,5,11153,31757317,-1,1.057.733,210.082,1000,18,1,1565206002,1743678487,0
GSM,452,4,20521,54491,-1,106.697,10.7821,508,46,1,1565243550,1735808514,0
UMTS,452,5,1153,8120983,279,1.057.881,21.005,1000,16,1,1565248767,1743678487,0
UMTS,452,5,1153,8071922,336,105.797,210.047,1000,5,1,1565248999,1743678487,0
LTE,452,5,11151,31932422,-1,1.058.255,210.087,1000,4,1,1565249910,1744349581,0
LTE,452,5,11151,31932421,-1,105.828,210.076,1000,10,1,1565250119,1744349581,0
LTE,452,5,11151,31748870,-1,1.058.306,210.067,1000,10,1,1565250164,1744349581,0
LTE,452,5,11151,31749125,-1,1.058.413,21.007,1000,30,1,1565250527,1703334546,0
LTE,452,5,11151,31941382,-1,1.058.413,210.029,1000,13,1,1565250605,1744349582,0
LTE,452,5,11151,31941381,-1,1.058.414,210.014,500,26,1,1565250725,1744349582,0
LTE,452,5,11151,31856133,-1,1.058.413,210.127,1000,13,1,1565252238,1703334546,0
LTE,452,5,11151,31765252,-1,1.058.413,210.144,1000,7,1,1565252301,1703299862,0
LTE,452,5,11151,31747845,-1,1.058.418,210.168,1000,20,1,1565252336,1703334546,0
LTE,452,5,11151,31795205,-1,1.058.439,210.187,1000,11,1,1565252388,1703334546,0
LTE,452,5,11151,31794693,-1,1.058.436,210.229,1000,13,1,1565252532,1703334546,0
UMTS,452,5,1151,8072172,273,1.058.456,21.025,1000,10,1,1565252690,1703678162,0
LTE,452,5,11151,31851013,-1,1.058.425,210.302,1000,24,1,1565252901,1703573761,0
LTE,452,5,11151,31938308,-1,1.058.366,210.291,1000,21,1,1565252945,1703425454,0
LTE,452,5,11151,31774724,-1,1.058.393,210.328,500,50,1,1565253001,1745334503,0
LTE,452,5,11151,31793669,-1,1.058.327,210.321,1000,13,1,1565253192,1745334503,0
LTE,452,5,11151,31745028,-1,1.058.235,210.315,1000,7,1,1565253348,1745288402,0
GSM,452,4,20506,43661,-1,1.067.039,10.7738,2214,30,1,1565254104,1744645502,0
